Country Name,GDP growth (annual %),GDP per capita (current US$),Average time to clear exports through customs (days),Container port traffic (TEU: 20 foot equivalent units),Liner shipping connectivity index (maximum value in 2004 = 100),Rail lines (total route-km)
Afghanistan,2.266943736,413.7578947,NA,NA,NA,NA
Albania,3.961719112,10011.62799,NA,NA,NA,NA
Algeria,3.299999999,5631.179991,NA,1541273,12.84251801,NA
American Samoa,NA,NA,NA,NA,NA,NA
Andorra,3.371820326,49303.67339,NA,NA,NA,NA
Angola,4.423904529,2122.08369,NA,563895,23.60397302,NA
Antigua and Barbuda,4.32752145,23725.79037,NA,NA,NA,NA
Argentina,-1.719105147,13858.20398,NA,1705390,33.06590507,NA
Armenia,5.9,8500.605225,12.02353573,NA,NA,698.4
Aruba,4.263719415,33984.79062,NA,NA,NA,NA
Australia,1.43111252,64407.48426,NA,NA,NA,NA
Austria,-1.173540536,56833.19605,NA,NA,NA,NA
Azerbaijan,4.071402105,7283.83563,NA,NA,NA,2239.18
"Bahamas, The",3.378506607,39455.44665,NA,NA,NA,NA
Bahrain,3.017248391,30048.21777,NA,464010,25.12496499,NA
Bangladesh,4.223259113,2593.416074,NA,2897709,13.80449154,NA
Barbados,3.800000319,25365.79494,NA,NA,NA,NA
Belarus,4.009848525,8316.647763,NA,NA,NA,NA
Belgium,1.018898625,55954.61063,NA,NA,NA,NA
Belize,8.151789827,8429.679597,NA,NA,NA,NA
Benin,7.453115662,1485.38019,NA,NA,18.40028664,NA
Bermuda,2.105368822,138934.9588,NA,NA,NA,NA
Bhutan,4.882593963,3839.409304,NA,NA,NA,NA
Bolivia,1.38468279,4001.21134,NA,NA,NA,NA
Bosnia and Herzegovina,2.480047084,8957.372942,NA,NA,NA,NA
Botswana,-2.989868795,7695.242064,NA,NA,NA,886
Brazil,3.395866455,10280.31486,NA,10450632,36.81357973,NA
British Virgin Islands,NA,NA,NA,NA,NA,NA
Brunei Darussalam,4.200372735,33417.83577,NA,NA,NA,NA
Bulgaria,2.810827752,17412.41151,NA,NA,NA,NA
Burkina Faso,4.985103006,987.3213781,NA,NA,NA,518
Burundi,3.489231748,153.9302179,NA,NA,NA,NA
Cabo Verde,7.271881472,5272.85253,NA,76139,4.231495443,NA
Cambodia,6.015814574,2627.879697,NA,NA,NA,NA
Cameroon,3.670742847,1762.368351,NA,366667,18.94577224,884
Canada,1.528081109,54282.61761,NA,NA,NA,NA
Cayman Islands,4.359675957,97749.5079,NA,NA,NA,NA
Central African Republic,1.539632475,516.1704245,NA,NA,NA,NA
Chad,3.654451105,1016.088807,NA,NA,NA,NA
Channel Islands,3.715005904,74589.13812,NA,NA,NA,NA
Chile,2.644311549,16709.8894,NA,4217172,36.21516166,2396
China,4.977356592,13303.14815,NA,NA,NA,NA
Colombia,1.74380145,7913.988015,NA,NA,NA,NA
Comoros,3.388783506,1784.115469,NA,NA,6.129598168,NA
Democratic Republic of the Congo,6.67593029,647.4357048,NA,NA,5.125131987,3641
Congo (Republic of the),2.579666395,2482.248947,NA,930000,24.83030274,NA
Costa Rica,4.321224296,18587.15322,NA,NA,NA,NA
Cote d'Ivoire,5.95,2709.895116,NA,NA,NA,NA
Croatia,3.814945217,23931.45284,NA,NA,NA,NA
Cuba,-1.929371232,NA,NA,NA,NA,NA
Curacao,4.202,21061.74164,NA,NA,NA,NA
Cyprus,3.448061704,38654.16797,NA,NA,NA,NA
Czechia,1.120384627,31706.62342,NA,NA,NA,NA
Denmark,3.67619735,71851.75621,NA,NA,NA,NA
Djibouti,5.953829989,3496.471119,NA,860000,32.49643947,NA
Dominica,2.052738473,10405.27878,NA,NA,NA,NA
Dominican Republic,4.951696872,10875.66184,NA,NA,NA,NA
Ecuador,-2.001254763,6874.70574,NA,NA,NA,NA
Egypt,2.399169268,3338.473714,6.700059414,7564385,68.5087319,NA
El Salvador,2.602020161,5579.659692,NA,NA,NA,NA
Equatorial Guinea,0.907248246,6745.400132,NA,6207,11.66140113,NA
Eritrea,NA,NA,NA,NA,4.356940501,NA
Estonia,-0.26100621,31170.09151,NA,NA,NA,NA
Eswatini,2.640704616,3936.109692,NA,NA,NA,NA
Ethiopia,7.316691128,NA,NA,NA,NA,NA
Faroe Islands,2.489058117,71774.35224,NA,NA,NA,NA
Fiji,3.828998887,6288.398673,NA,NA,NA,NA
Finland,-0.154214821,53188.61862,NA,NA,NA,NA
France,1.166138515,46150.48769,NA,NA,NA,NA
French Polynesia,2.996927078,22774.1419,NA,NA,NA,NA
Gabon,3.383907608,8218.763071,NA,180000,12.45776091,648
Gambia,5.746717655,908.5256742,NA,NA,6.168405971,NA
Georgia,9.428572202,9193.663664,NA,490670,6.172208191,1411
Germany,-0.238526858,55800.21945,NA,NA,NA,NA
Ghana,5.684872604,2405.794664,NA,1324504,39.9862069,NA
Gibraltar,NA,NA,NA,NA,NA,NA
Greece,2.271736226,24752.10684,NA,NA,NA,NA
