"Country.ID","Country.Name","Share.of.All.Commodities.Export","Share.of.Agriculture.Export","Share.of.Energy.Export","Share.of.Mining.Export","Mining.Export.Score","Super.Region.Country","PRGT.Eligible","Average.time.to.clear.exports.through.customs..days.","Container.port.traffic..TEU..20.foot.equivalent.units.","GDP.growth..annual...","GDP.per.capita..current.US..","Liner.shipping.connectivity.index..maximum.value.in.2004...100.","Rail.lines..total.route.km.","product_code_1","product_code_2","product_code_3","product_code_4","product_code_5","product_code_6","product_label_1","product_label_2","product_label_3","product_label_4","product_label_5","product_label_6","exports_2024_1","exports_2024_2","exports_2024_3","exports_2024_4","exports_2024_5","exports_2024_6","pct_of_total_1","pct_of_total_2","pct_of_total_3","pct_of_total_4","pct_of_total_5","pct_of_total_6"
1,"Afghanistan",96.7,65,5.4,26.3,5,1,1,NA,NA,2.266943736,413.7578947,NA,NA,"'7615","'7801","'7601","'7204","'7901","'7323","Other Aluminium","Unwrought lead :","Unwrought aluminium","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...","Unwrought zinc :","Table, kitchen or other household articles, and parts thereof, of iron or steel; iron or steel ...",4876,3593,1052,266,247,180,0.151231641530144,0.111438738313742,0.0326283197066677,0.00825012646575438,0.00766083171820049,0.00558279234524732
2,"Albania",30,12.8,9.7,7.6,4,0,0,NA,NA,3.961719112,10011.62799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Algeria",93.9,1,92.8,0.2,1,1,0,NA,1541273,3.299999999,5631.179991,12.84251801,NA,"'7207","'7214","'7213","'7203","'7305","'7408","Other Iron","Other Iron","Other Iron","Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ...","Tubes and pipes, having circular cross-sections and an external diameter of > 406,4 mm, of ...","Other Copper",302351,262981,78467,40149,31275,31236,0.319435135320823,0.277840560546535,0.0829007238713251,0.0424175916335508,0.0330421723664176,0.0330009686982389
4,"Andorra",8.8,1.8,0,6.9,3,0,0,NA,NA,3.371820326,49303.67339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Angola",98.3,0.4,94.1,3.7,3,1,0,NA,563895,4.423904529,2122.08369,23.60397302,NA,"'7214","'7206","'7326","'7308","'7203","'7202","Other Iron","Iron and non-alloy steel in ingots or other primary forms (excl. remelting scrap ingots, products ...","Articles of iron or steel, n.e.s. (excl. cast articles)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...","Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ...","Ferro-alloys",29787,19743,18277,9024,8936,4065,0.0379449749583165,0.0251501541142795,0.0232826503949089,0.0114954662780357,0.0113833650997924,0.00517831010862311
6,"Antigua and Barbuda",50,4.8,41.2,4,3,0,0,NA,NA,4.32752145,23725.79037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Argentina",82.1,75.5,3.9,2.7,2,1,0,NA,1705390,-1.719105147,13858.20398,33.06590507,NA,"'7616","'7326","'7318","'7214","'7610","'7320","Other Aluminium","Articles of iron or steel, n.e.s. (excl. cast articles)","Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. spring washers, and similar articles, of iron or steel (excl. lag screws, stoppers, plugs and the like, threaded)","Other Iron","Other Aluminium","Springs and leaves for springs, of iron or steel (excl. clock and watch springs, springs for sticks and handles of umbrellas or parasols, shock absorbers and torque rod or torsion bar springs of Section 17)",53994,13606,9728,5036,3768,3126,0.0338645297011538,0.00853355541567393,0.00610131023693047,0.00315853190308202,0.00236325421183738,0.00196059784134916
8,"Armenia",76.2,25.8,1.6,48.7,6,1,0,12.02353573,NA,5.9,8500.605225,NA,698.4,"'7202","'7607","'7207","'7403","'7601","'7606","Ferro-alloys","Other Aluminium","Other Iron","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Unwrought aluminium","Other Aluminium",184688,68589,25568,19465,13479,10620,0.708805070814688,0.26323437907232,0.098126180642976,0.0747037744921592,0.051730396937057,0.0407579802263925
9,"Australia",89,14.6,23.7,50.8,6,0,0,NA,NA,1.43111252,64407.48426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Austria",16.6,10.2,2.2,4.2,3,0,0,NA,NA,-1.173540536,56833.19605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
