Country.Name,product_code_1,product_code_2,product_code_3,product_code_4,product_code_5,product_code_6,product_label_1,product_label_2,product_label_3,product_label_4,product_label_5,product_label_6,exports_2024_1,exports_2024_2,exports_2024_3,exports_2024_4,exports_2024_5,exports_2024_6,pct_of_total_1,pct_of_total_2,pct_of_total_3,pct_of_total_4,pct_of_total_5,pct_of_total_6
Afghanistan,'7615,'7801,'7601,'7204,'7901,'7323,Other Aluminium,Unwrought lead :,Unwrought aluminium,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...",Unwrought zinc :,"Table, kitchen or other household articles, and parts thereof, of iron or steel; iron or steel ...",4876,3593,1052,266,247,180,0.151231642,0.111438738,0.03262832,0.008250126,0.007660832,0.005582792
Algeria,'7207,'7214,'7213,'7203,'7305,'7408,Other Iron,Other Iron,Other Iron,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ...","Tubes and pipes, having circular cross-sections and an external diameter of > 406,4 mm, of ...",Other Copper,302351,262981,78467,40149,31275,31236,0.319435135,0.277840561,0.082900724,0.042417592,0.033042172,0.033000969
Angola,'7214,'7206,'7326,'7308,'7203,'7202,Other Iron,"Iron and non-alloy steel in ingots or other primary forms (excl. remelting scrap ingots, products ...","Articles of iron or steel, n.e.s. (excl. cast articles)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...","Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ...",Ferro-alloys,29787,19743,18277,9024,8936,4065,0.037944975,0.025150154,0.02328265,0.011495466,0.011383365,0.00517831
Argentina,'7616,'7326,'7318,'7214,'7610,'7320,Other Aluminium,"Articles of iron or steel, n.e.s. (excl. cast articles)","Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. spring washers, and similar articles, of iron or steel (excl. lag screws, stoppers, plugs and the like, threaded)",Other Iron,Other Aluminium,"Springs and leaves for springs, of iron or steel (excl. clock and watch springs, springs for sticks and handles of umbrellas or parasols, shock absorbers and torque rod or torsion bar springs of Section 17)",53994,13606,9728,5036,3768,3126,0.03386453,0.008533555,0.00610131,0.003158532,0.002363254,0.001960598
Armenia,'7202,'7607,'7207,'7403,'7601,'7606,Ferro-alloys,Other Aluminium,Other Iron,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Unwrought aluminium,Other Aluminium,184688,68589,25568,19465,13479,10620,0.708805071,0.263234379,0.098126181,0.074703774,0.051730397,0.04075798
Azerbaijan,'7606,'7601,'7214,'7304,'7801,'7202,Other Aluminium,Unwrought aluminium,Other Iron,"Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)",Unwrought lead :,Ferro-alloys,110051,70749,35780,24832,15147,13424,0.207220713,0.133216947,0.06737201,0.046757456,0.028521069,0.025276743
Bahrain,'7601,'7605,'7606,'7308,'7207,'7614,Unwrought aluminium,Other Aluminium,Other Aluminium,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...",Other Iron,Other Aluminium,3151196,410482,374620,265832,245112,200765,11.34040831,1.47722753,1.348168683,0.956666428,0.882100054,0.722505701
Bangladesh,'7404,'7204,'7602,'7601,'7205,'7326,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",Unwrought aluminium,"Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ...","Articles of iron or steel, n.e.s. (excl. cast articles)",52426,36220,19275,11731,8018,5633,0.044278704,0.030591207,0.016279556,0.009907936,0.006771958,0.0047576
Benin,'7214,'7213,'7308,'7302,'7216,'7210,Other Iron,Other Iron,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...","Railway or tramway track construction material of iron or steel, the following : rails, check-rails ...",Other Iron,Other Iron,24391,10581,2541,1855,1275,1154,1.095896689,0.47540826,0.114168074,0.083345839,0.057286224,0.051849649
Bolivia,'8001,'7204,'7403,'7602,'8110,'7404,Unwrought tin,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)",Antimony and articles thereof,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)",528987,28015,16918,14618,7931,5158,2.919623226,0.15462241,0.093375047,0.080680721,0.043773348,0.028468406
