Country.ID,Country.Name,Share.of.All.Commodities.Export,Share.of.Agriculture.Export,Share.of.Energy.Export,Share.of.Mining.Export,Mining.Export.Score,Super.Region.Country,PRGT.Eligible,Average.time.to.clear.exports.through.customs..days.,Container.port.traffic..TEU..20.foot.equivalent.units.,GDP.growth..annual...,GDP.per.capita..current.US..,Liner.shipping.connectivity.index..maximum.value.in.2004...100.,Rail.lines..total.route.km.
1,Afghanistan,96.7,65,5.4,26.3,5,1,1,NA,NA,2.266943736,413.7578947,NA,NA
2,Albania,30,12.8,9.7,7.6,4,0,0,NA,NA,3.961719112,10011.62799,NA,NA
3,Algeria,93.9,1,92.8,0.2,1,1,0,NA,1541273,3.299999999,5631.179991,12.84251801,NA
4,Andorra,8.8,1.8,0,6.9,3,0,0,NA,NA,3.371820326,49303.67339,NA,NA
5,Angola,98.3,0.4,94.1,3.7,3,1,0,NA,563895,4.423904529,2122.08369,23.60397302,NA
6,Antigua and Barbuda,50,4.8,41.2,4,3,0,0,NA,NA,4.32752145,23725.79037,NA,NA
7,Argentina,82.1,75.5,3.9,2.7,2,1,0,NA,1705390,-1.719105147,13858.20398,33.06590507,NA
8,Armenia,76.2,25.8,1.6,48.7,6,1,0,12.02353573,NA,5.9,8500.605225,NA,698.4
9,Australia,89,14.6,23.7,50.8,6,0,0,NA,NA,1.43111252,64407.48426,NA,NA
10,Austria,16.6,10.2,2.2,4.2,3,0,0,NA,NA,-1.173540536,56833.19605,NA,NA
11,Azerbaijan,95.8,5.5,88,2.3,2,1,0,NA,NA,4.071402105,7283.83563,NA,2239.18
12,Bahamas,43,9.1,28.8,5.1,3,0,0,NA,NA,3.378506607,39455.44665,NA,NA
13,Bahrain,72.4,4.7,34.2,33.4,5,1,0,NA,464010,3.017248391,30048.21777,25.12496499,NA
14,Bangladesh,4.9,4.4,0.2,0.4,1,1,1,NA,2897709,4.223259113,2593.416074,13.80449154,NA
15,Barbados,37.6,30.6,4.2,2.8,2,0,0,NA,NA,3.800000319,25365.79494,NA,NA
16,Belarus,40.1,24.8,13.9,1.5,1,0,0,NA,NA,4.009848525,8316.647763,NA,NA
17,Belgium,28,12.3,7.5,8.3,4,0,0,NA,NA,1.018898625,55954.61063,NA,NA
18,Belize,87.6,74.7,6.3,6.6,3,0,0,NA,NA,8.151789827,8429.679597,NA,NA
19,Benin,92.1,61.4,7.5,23.1,5,1,1,NA,NA,7.453115662,1485.38019,18.40028664,NA
20,Bhutan,43.7,9,15.7,19,5,0,1,NA,NA,4.882593963,3839.409304,NA,NA
21,Bolivia,94.6,18.9,27.1,48.6,6,1,0,NA,NA,1.38468279,4001.21134,NA,NA
22,Bosnia and Herzegovina,26.6,11.4,8.2,7.1,4,0,0,NA,NA,2.480047084,8957.372942,NA,NA
23,Botswana,94,2,0.4,91.6,6,1,0,NA,NA,-2.989868795,7695.242064,NA,886
24,Brazil,73.4,41.3,13.2,19,5,1,0,NA,10450632,3.395866455,10280.31486,36.81357973,NA
25,Brunei,86.1,0.2,85.5,0.4,1,0,0,NA,NA,4.200372735,33417.83577,NA,NA
26,Bulgaria,39.6,17.9,6.8,14.9,5,0,0,NA,NA,2.810827752,17412.41151,NA,NA
27,Burkina Faso,97.2,12.5,0.6,84.1,6,1,1,NA,NA,4.985103006,987.3213781,NA,518
28,Burundi,95.1,36.1,1.3,57.7,6,1,1,NA,NA,3.489231748,153.9302179,NA,NA
29,Cabo Verde,78,73.7,0.8,3.5,2,1,1,NA,76139,7.271881472,5272.85253,4.231495443,NA
30,Cambodia,22.1,10.6,0,11.5,4,0,1,NA,NA,6.015814574,2627.879697,NA,NA
31,Cameroon,92.4,39.7,46.1,6.7,3,1,1,NA,366667,3.670742847,1762.368351,18.94577224,884
32,Canada,52.1,17.5,22.6,12.1,4,0,0,NA,NA,1.528081109,54282.61761,NA,NA
33,Central African Republic,76.9,59.5,0.1,17.3,5,1,1,NA,NA,1.539632475,516.1704245,NA,NA
34,Chad,98.3,8,90.2,0.1,1,1,1,NA,NA,3.654451105,1016.088807,NA,NA
35,Chile,88.3,28.8,0.7,58.7,6,1,0,NA,4217172,2.644311549,16709.8894,36.21516166,2396
36,China,5.8,3,1.4,1.4,1,0,0,NA,NA,4.977356592,13303.14815,NA,NA
37,Colombia,78.6,22,48,8.6,4,0,0,NA,NA,1.74380145,7913.988015,NA,NA
38,Comoros,52.9,51.7,0,1.1,1,1,1,NA,NA,3.388783506,1784.115469,6.129598168,NA
39,Congo (Republic of the),94,4.5,76.8,12.7,4,1,1,NA,930000,2.579666395,2482.248947,24.83030274,NA
40,Costa Rica,42.4,40.7,0,1.6,1,0,0,NA,NA,4.321224296,18587.15322,NA,NA
41,Côte d’Ivoire,91.6,66.8,15.3,9.4,4,1,1,NA,NA,5.95,2709.895116,NA,NA
42,Croatia,35.6,18.9,11.8,4.9,3,0,0,NA,NA,3.814945217,23931.45284,NA,NA
43,Cuba,68.2,45.3,3.8,19.1,5,0,0,NA,NA,-1.929371232,NA,NA,NA
44,Cyprus,37.4,17.1,17.2,3.1,2,0,0,NA,NA,3.448061704,38654.16797,NA,NA
45,Czech Republic (Czechia),9.3,5.9,1.7,1.6,2,0,0,NA,NA,1.120384627,31706.62342,NA,NA
46,Democratic Republic of the Congo,82.2,1.6,3.6,77,6,1,1,NA,NA,6.67593029,647.4357048,5.125131987,3641
47,Denmark,28.6,22.9,4,1.7,2,0,0,NA,NA,3.67619735,71851.75621,NA,NA
48,Djibouti,49.1,30.1,12.2,6.9,3,1,1,NA,860000,5.953829989,3496.471119,32.49643947,NA
49,Dominica,25,18.1,0,6.9,4,0,1,NA,NA,2.052738473,10405.27878,NA,NA
50,Dominican Republic,42.8,23.9,0.6,18.3,5,0,0,NA,NA,4.951696872,10875.66184,NA,NA
51,Ecuador,94.1,55.5,32.7,5.9,3,0,0,NA,NA,-2.001254763,6874.70574,NA,NA
52,Egypt,54,17.9,26.2,9.9,4,1,0,6.700059414,7564385,2.399169268,3338.473714,68.5087319,NA
53,El Salvador,24.2,20.6,2.6,1,1,0,0,NA,NA,2.602020161,5579.659692,NA,NA
54,Equatorial Guinea,93.2,2.9,89.9,0.4,1,1,0,NA,6207,0.907248246,6745.400132,11.66140113,NA
55,Eritrea,91.2,50.4,0,40.8,6,1,1,NA,NA,NA,NA,4.356940501,NA
56,Estonia,33.5,16.5,13.9,3,2,0,0,NA,NA,-0.26100621,31170.09151,NA,NA
57,Eswatini,35.1,31.7,1.3,2,2,1,0,NA,NA,2.640704616,3936.109692,NA,NA
58,Ethiopia,80.8,77.2,0,3.6,3,1,1,NA,NA,7.316691128,NA,NA,NA
59,Fiji,77.4,58.3,10.9,8.2,4,0,0,NA,NA,3.828998887,6288.398673,NA,NA
60,Finland,26.9,11,8.4,7.5,4,0,0,NA,NA,-0.154214821,53188.61862,NA,NA
61,France,20,14.5,2.8,2.7,2,0,0,NA,NA,1.166138515,46150.48769,NA,NA
62,Gabon,90.3,19.8,57.3,13.2,5,1,0,NA,180000,3.383907608,8218.763071,12.45776091,648
63,Gambia,89.8,75,7.6,7.2,4,1,1,NA,NA,5.746717655,908.5256742,6.168405971,NA
64,Georgia,52.7,26.6,0.7,25.4,5,1,0,NA,490670,9.428572202,9193.663664,6.172208191,1411
65,Germany,12.5,6.6,2.3,3.6,3,0,0,NA,NA,-0.238526858,55800.21945,NA,NA
66,Ghana,95.3,25.2,28.8,41.3,6,1,1,NA,1324504,5.684872604,2405.794664,39.9862069,NA
67,Greece,59.2,21.9,28.2,9.1,4,0,0,NA,NA,2.271736226,24752.10684,NA,NA
68,Grenada,70.6,68.4,0.1,2,2,0,1,NA,NA,3.693059328,11871.6117,NA,NA
69,Guatemala,57.7,53.8,2.6,1.4,1,0,0,NA,NA,3.651864629,6150.025978,NA,NA
70,Guinea,95,4.1,3.7,87.2,6,1,1,NA,250000,5.668523935,1717.023181,7.88121296,NA
71,Guinea-Bissau,98.3,93.6,4.4,0.3,1,1,1,NA,NA,4.813485952,962.9836279,4.057454974,NA
72,Guyana,95.4,31.7,0.1,63.7,6,0,0,NA,NA,43.37200948,29883.63412,NA,NA
73,Haiti,13.5,11,0,2.5,2,0,1,NA,NA,-4.169633958,2142.623305,NA,NA
74,Honduras,49.1,43.3,1.8,4.1,3,0,1,NA,NA,3.553970033,3426.434833,NA,NA
75,Hungary,13,9.1,2.4,1.5,1,0,0,NA,NA,0.512305791,23310.75127,NA,NA
76,Iceland,87.2,48.6,1.2,37.5,5,0,0,NA,NA,0.516863122,82703.85799,NA,NA
77,India,36.7,12.8,12.9,11,4,1,0,NA,17597062,6.48422363,2696.6639,57.21854093,67955.63
78,Indonesia,54.2,27.6,18.6,8,4,0,0,NA,NA,5.030344694,4925.430488,NA,NA
79,Iran,70.4,10.6,52.5,7.3,4,0,0,NA,NA,3.040000309,4771.40029,NA,NA
80,Iraq,99.7,0.3,95.3,4.1,3,1,0,NA,NA,-1.545251983,6073.610323,34.39329113,NA
81,Ireland,10.3,8.9,0.5,0.8,1,0,0,NA,NA,1.221334299,107316.3373,NA,NA
82,Israel,22.1,4.2,0.7,17.1,5,0,0,NA,NA,0.871968424,54176.68444,NA,NA
83,Italy,17.2,10.6,2.8,3.8,3,0,0,NA,NA,0.72579238,40226.04724,NA,NA
84,Jamaica,93.8,24.9,22.7,46.1,6,0,0,NA,NA,-0.718806912,7019.746348,NA,NA
85,Japan,8,1.9,1.6,4.4,3,0,0,NA,NA,0.083698564,32475.8925,NA,NA
86,Jordan,27,13.7,1.8,11.5,4,1,0,NA,857283,2.488894096,4618.095925,33.96811722,NA
87,Kazakhstan,85.8,6.5,63.1,16.3,5,1,0,NA,NA,4.8,14005.34874,NA,16063
88,Kenya,71.9,57.3,4.6,10,4,1,1,NA,1359579,4.496498285,2206.134979,16.72504284,NA
89,Kiribati,88.2,83.7,3.6,0.9,1,0,1,NA,NA,5.266899264,2288.634583,NA,NA
90,Korea (North),22.7,4.9,12.3,5.5,3,0,0,NA,NA,NA,NA,NA,NA
91,Korea (South),12,2.4,6.8,2.9,2,0,0,NA,NA,1.356733243,33121.37129,NA,NA
92,Kuwait,85.7,1.4,83.5,0.8,1,1,0,NA,863618,-2.560111133,32213.86223,11.28283221,NA
93,Kyrgyzstan,81.7,15,4.6,62.1,6,1,1,NA,NA,9.040135561,2419.265536,NA,424
94,Laos,77,24.4,28.4,24.1,5,0,1,NA,NA,4.258257247,2123.979094,NA,NA
95,Latvia,39.5,32.4,4.9,2.2,2,0,0,NA,NA,-0.442491126,23367.59868,NA,NA
96,Lebanon,54.8,18.4,0.8,35.7,5,1,0,NA,832954,-0.76058447,3477.724898,33.17758183,NA
97,Lesotho,43.2,7.8,0,35.3,5,1,1,NA,NA,2.762238185,971.8146205,NA,NA
98,Liberia,74.3,17.1,1.5,55.7,6,1,1,NA,NA,4.792914822,846.2773684,7.433794275,NA
99,Libya,98.9,0.2,91.6,7.1,4,1,0,NA,NA,-0.605832527,6318.40314,12.40107525,NA
100,Liechtenstein,NA,NA,NA,NA,NA,0,0,NA,NA,NA,207973.6177,NA,NA
101,Lithuania,33.8,21.1,10.3,2.4,2,0,0,NA,NA,2.772631245,29386.28784,NA,NA
102,Luxembourg,17.1,9.9,0.3,7,4,0,0,NA,NA,1.031616713,137516.5873,NA,NA
103,Madagascar,73.9,41.7,0.9,31.2,5,1,1,NA,NA,4.2,544.9973027,7.765154056,673
104,Malawi,93.4,92.5,0.1,0.8,1,1,1,NA,NA,1.82685,508.3712735,NA,NA
105,Malaysia,28.8,11.7,12.8,4.3,3,0,0,NA,NA,5.114155478,11867.25864,NA,NA
106,Maldives,96.2,87.8,5.7,2.8,2,1,1,NA,NA,5.133962231,13215.53536,7.215384739,NA
107,Mali,96.7,11,0.3,85.4,6,1,1,NA,NA,5.004545937,1086.176218,NA,NA
108,Malta,27.9,8.2,18.4,1.2,1,0,0,NA,NA,5.969281961,42347.30739,NA,NA
109,Marshall Islands,9.8,6.3,3.4,0.1,1,0,1,NA,NA,2.770968022,7466.651865,NA,NA
110,Mauritania,98.8,32.1,0.5,66.1,6,1,1,NA,NA,5.2,2082.783744,6.166713965,728
111,Mauritius,45.4,38.2,0.4,6.8,3,1,0,NA,438078,4.693903184,11871.73368,33.73429687,NA
112,Mexico,17.5,8.8,5.2,3.4,2,0,0,NA,NA,1.454062478,14157.94458,NA,NA
113,Micronesia,98.1,98.1,0,0,1,0,1,NA,NA,0.719083512,4166.004767,NA,NA
114,Moldova,46,43.6,0.5,1.9,2,0,1,NA,NA,0.103059412,7617.516131,NA,NA
115,Monaco,NA,NA,NA,NA,NA,0,0,NA,NA,5.043382592,256580.5151,NA,NA
116,Mongolia,98.5,5.9,36.2,56.4,6,0,0,NA,NA,4.864001434,6691.482098,NA,NA
117,Montenegro,70.5,21.5,18.9,30,5,0,0,NA,NA,3.040315798,12935.45227,NA,NA
118,Morocco,29.4,22.6,0.5,6.3,3,1,0,NA,7000928,3.236513735,3993.387451,68.05225001,2295
119,Mozambique,95.7,19.8,38.4,37.5,5,1,1,NA,417459,1.851775025,647.2857995,14.54538699,NA
